11	22	드레이크	AR, SG 판매
12	31	스파르탄	SMG 판매
13	32	싱	치료, 포션 및 탄창 판매
14	10	여와	도 기술 교육, 도 판매
15	19	쟌	총 기술 교육, SR 판매
16	3	자크	무기 지급 담당
17	2	카이저	브리핑 및 미션 담당, 이벤트퀘스트 담당
18	4	카인	도서관 담당
20	20	케빈	보관함 판매 및 관리
21	6	크리스	보관함 판매 및 관리, 퀘스트 담당
22	33	크리스틴	보관함 판매 및 관리
23	24	크라이프	악세사리 판매
24	9	한	검 기술 교육, 검 판매
25	27	한니발	인챈트 기술 교육, 메이스 판매
26	5	타냐	컴퓨터 담당
27	17	데이비드	수리
92	39	브리콜라카스	뱀파이어 기술 교육
93	38	카파티니	변신 아이템 및 씰 판매, 보관함 판매 및 관리, 퀘스트 담당
94	40	발레리	코트 판매
95	14	그루버	목걸이, 팔찌, 반지 판매
96	21	그리픈	수리
97	7	산드라	상하의, 벨트, 헬멧 판매
98	18	살라맨더	치료, 포션 및 탄창 판매
99	26	소냐	상하의, 벨트, 헬멧 판매
100	8	요시하라	신발, 장갑 판매
101	13	요한	치료, 포션 및 탄창 판매
102	23	크로우	신발, 장갑 판매
103	16	스미스	성향 회복
108	12	스마이로비치	수리, 은도금
109	15	잭	모터사이클 및 탄창 판매, 모터사이클 관리
110	11	하스브로	방패 판매, 은도금
157	1	코난	성향 회복
158	25	프레드릭	승직 무기 교환
159	34	예브게니	악세사리 판매 및 커플 신청
160	35	니콜라이	상하의, 벨트, 헬멧 판매
161	36	리차드슨	신발, 장갑 판매
162	29	샤모르	악세사리 판매
163	28	라흐마노프	힐링 기술 교육, 십자가 판매
164	30	스토야노프	성향 회복
219	41	쎄쓰	악세사리 판매
220	42	카콘	수리, 악세사리 및 변신아이템 판매
250	44	매튜	헬기 이동
251	44	스킵	헬기 이동
253	48	바룬	수리, 부활위치 지정, 수익금 관리 및 보관함 관리
254	47	헌트	수리, 부활위치 지정, 수익금 관리 및 보관함 관리
255	49	레베카	뱀파이어 무기, 비드 판매, 이벤트퀘스트 담당
296	45	야마모토	치료, 포션 및 탄창 판매
297	46	데니스	치료, 포션 및 탄창 판매
298	4294967295	마크	야전사령부 경비
299	4294967295	존	야전사령부 경비
300	4294967295	리사	야전사령부 경비
302	45	테리	신발, 장갑, 방패 판매
303	46	낸시	상의, 하의, 벨트, 모자 판매
304	4294967295	파비안	야전사령부 경비
305	4294967295	제프	야전사령부 경비
306	4294967295	옥타부스도우미1	공성 공격측 지원
307	4294967295	옥타부스도우미2	공성 수비측 지원
315	4294967295	트리스탄	야전사령부 경비
316	4294967295	엘렌	야전사령부 경비
317	4294967295	패트리샤	야전사령부 경비
362	50	아그네	코트 판매
363	51	아이만	변신아이템, 혈청 및 씰 판매, 보관 및 수리
364	52	카임	무기 및 비드 판매, 뱀파이어 기술 교육
365	53	프리야	악세사리 판매 및 커플 신청
368	39	라르바	리스토어
370	35	레이븐	뱀파이어 코트 판매
427	55	그리피스	혈청, 변신아이템 및 씰 판매, 수리 및 보관
428	56	로빈	악세사리 판매, 수리 및 보관
429	57	머피	아이템 매매
430	58	카르멘	치료 및 아이템 매매
516	62	마리	악세사리 판매 및 전쟁참가
517	68	몰록	아이템 판매, 계급 스킬 초기화
518	63	베아트릭스	아이템 판매, 계급 스킬 초기화
519	59	아일린	아이템 판매 및 치료, 계급 스킬 초기화
520	67	아미	코트판매 및 전쟁참가
521	60	알렌	무기 판매 및 전쟁참가
522	64	주디스	아이템 판매 및 후송위치 지정
523	65	헤롤드	수리 및 방어구 판매, 계급 스킬 초기화
524	61	브렌다	정보, 전쟁참가, 수익금 관리 및 보관함 관리
525	66	시모네	수리, 부활위치 지정, 수익금 관리 및 보관함 관리
551	70	프라오로스	옥타부스성 석상
553	72	아리오크	셉티무스성 석상
555	69	파프니르	테르티우스성 석상
557	71	이모르탈러티	쿠아르투스성 석상
653	79	라비니아	레어퀘스트, 부활위치 지정, 이벤트퀘스트 담당
654	74	리파티	치료 및 아이템 판매
655	80	마네스쿠	무기 판매 및 성향 조정
656	81	시오람	아이템 수리, 길드 관련, PK존 이동
657	73	아마타	아이템 판매, 보관함 판매 및 관리
658	82	호라	의상 판매
674	4294967295	피스케이트	헥시리우스 성 입장 허가
675	4294967295	미네센스	펜타누스 성 입장 허가
676	85	레프리	아이템 매매, 정보검색
677	86	엘루니아	아이템 매매, 전쟁참가
678	87	이그니엄	수리 및 보관
679	88	나이샤스	아이템 매매, 정보검색
680	89	니트리샤	아이템 매매, 전쟁참가
681	90	로와	수리 및 보관
749	4294967295	테르티우스도우미1	공성 공격측 지원
750	4294967295	테르티우스도우미2	공성 수비측 지원
751	4294967295	펜타누스도우미1	공성 공격측 지원
752	4294967295	펜타누스도우미2	공성 수비측 지원
821	97	아르고나스	던전 이동 도우미
822	98	벨레고스트	던전 이동 도우미
823	99	에아	던전 이동 도우미
804	4294967295	미클리즈	라옴 던전 최하층 입장
833	4294967295	훈련소교관	훈련소입장도우미
872	4294967295	곤베네스	정찰 임무 수행원
882	4294967295	베르나도	던전 입장 석상  
